geoid,measure,value,year
51059420700,employment_access_sqmi,44768,2015
51059420800,employment_access_sqmi,41523,2015
51059421001,employment_access_sqmi,49657,2015
51059421002,employment_access_sqmi,50225,2015
51059421101,employment_access_sqmi,39398,2015
51059421102,employment_access_sqmi,38792,2015
51059421103,employment_access_sqmi,33651,2015
51059421200,employment_access_sqmi,29904,2015
51059421300,employment_access_sqmi,33462,2015
51059421400,employment_access_sqmi,37458,2015
51059421500,employment_access_sqmi,30464,2015
51059421600,employment_access_sqmi,27651,2015
51059421701,employment_access_sqmi,24735,2015
51059421702,employment_access_sqmi,26049,2015
51059421800,employment_access_sqmi,22642,2015
51059421900,employment_access_sqmi,23914,2015
51059422000,employment_access_sqmi,31057,2015
51059422101,employment_access_sqmi,22069,2015
51059422102,employment_access_sqmi,19669,2015
51059422201,employment_access_sqmi,20288,2015
51059422202,employment_access_sqmi,19956,2015
51059422301,employment_access_sqmi,45796,2015
51059422302,employment_access_sqmi,46172,2015
51059422401,employment_access_sqmi,41311,2015
51059422402,employment_access_sqmi,38394,2015
51059422403,employment_access_sqmi,38237,2015
51059430101,employment_access_sqmi,30950,2015
51059430102,employment_access_sqmi,29117,2015
51059430201,employment_access_sqmi,30626,2015
51059430202,employment_access_sqmi,33273,2015
51059430203,employment_access_sqmi,37531,2015
51059430400,employment_access_sqmi,38882,2015
51059430500,employment_access_sqmi,59467,2015
51059430600,employment_access_sqmi,72821,2015
51059430700,employment_access_sqmi,50847,2015
51059430801,employment_access_sqmi,36107,2015
51059430802,employment_access_sqmi,37789,2015
51059430901,employment_access_sqmi,31257,2015
51059430902,employment_access_sqmi,30128,2015
51059431001,employment_access_sqmi,27392,2015
51059431002,employment_access_sqmi,28619,2015
51059431300,employment_access_sqmi,27076,2015
51059431400,employment_access_sqmi,30320,2015
51059431500,employment_access_sqmi,35172,2015
51059431600,employment_access_sqmi,43826,2015
51059431801,employment_access_sqmi,29780,2015
51059431802,employment_access_sqmi,31612,2015
51059431900,employment_access_sqmi,31744,2015
51059432000,employment_access_sqmi,24988,2015
51059432100,employment_access_sqmi,24932,2015
51059432201,employment_access_sqmi,26089,2015
51059432202,employment_access_sqmi,27123,2015
51059432300,employment_access_sqmi,24450,2015
51059432401,employment_access_sqmi,22940,2015
51059432402,employment_access_sqmi,23848,2015
51059432500,employment_access_sqmi,23712,2015
51059432600,employment_access_sqmi,26479,2015
51059432701,employment_access_sqmi,33829,2015
51059432702,employment_access_sqmi,31272,2015
51059432800,employment_access_sqmi,35424,2015
51059440100,employment_access_sqmi,52011,2015
51059440201,employment_access_sqmi,78895,2015
51059440202,employment_access_sqmi,68178,2015
51059440300,employment_access_sqmi,56036,2015
51059440501,employment_access_sqmi,39614,2015
51059440502,employment_access_sqmi,45408,2015
51059440600,employment_access_sqmi,50220,2015
51059440701,employment_access_sqmi,35258,2015
51059440702,employment_access_sqmi,39997,2015
51059440800,employment_access_sqmi,41769,2015
51059450100,employment_access_sqmi,72462,2015
51059450200,employment_access_sqmi,62291,2015
51059450300,employment_access_sqmi,65770,2015
51059450400,employment_access_sqmi,59943,2015
51059450500,employment_access_sqmi,58259,2015
51059450601,employment_access_sqmi,65250,2015
51059450602,employment_access_sqmi,63987,2015
51059450701,employment_access_sqmi,57623,2015
51059450702,employment_access_sqmi,55503,2015
51059450800,employment_access_sqmi,55897,2015
51059450900,employment_access_sqmi,54092,2015
51059451000,employment_access_sqmi,54346,2015
51059451100,employment_access_sqmi,55468,2015
51059451200,employment_access_sqmi,57411,2015
51059451300,employment_access_sqmi,64756,2015
51059451400,employment_access_sqmi,72420,2015
51059451501,employment_access_sqmi,72504,2015
51059451502,employment_access_sqmi,79979,2015
51059451601,employment_access_sqmi,69714,2015
51059451602,employment_access_sqmi,66617,2015
51059451800,employment_access_sqmi,63394,2015
51059451900,employment_access_sqmi,61293,2015
51059452000,employment_access_sqmi,59215,2015
51059452101,employment_access_sqmi,81183,2015
51059452102,employment_access_sqmi,65667,2015
51059452200,employment_access_sqmi,54714,2015
51059452301,employment_access_sqmi,51600,2015
51059452302,employment_access_sqmi,49665,2015
51059452400,employment_access_sqmi,76329,2015
51059452501,employment_access_sqmi,86124,2015
51059452502,employment_access_sqmi,67839,2015
51059452600,employment_access_sqmi,71024,2015
51059452700,employment_access_sqmi,71527,2015
51059452801,employment_access_sqmi,80524,2015
51059452802,employment_access_sqmi,83053,2015
51059460100,employment_access_sqmi,40216,2015
51059460200,employment_access_sqmi,38575,2015
51059460300,employment_access_sqmi,47917,2015
51059460400,employment_access_sqmi,91693,2015
51059460501,employment_access_sqmi,117846,2015
51059460502,employment_access_sqmi,91198,2015
51059460600,employment_access_sqmi,73179,2015
51059460701,employment_access_sqmi,61347,2015
51059460702,employment_access_sqmi,55467,2015
51059460800,employment_access_sqmi,70328,2015
51059460900,employment_access_sqmi,66915,2015
51059461000,employment_access_sqmi,49272,2015
51059461100,employment_access_sqmi,41746,2015
51059461201,employment_access_sqmi,39473,2015
51059461202,employment_access_sqmi,60775,2015
51059461500,employment_access_sqmi,49492,2015
51059461601,employment_access_sqmi,55596,2015
51059461602,employment_access_sqmi,76469,2015
51059461700,employment_access_sqmi,57844,2015
51059461801,employment_access_sqmi,50289,2015
51059461802,employment_access_sqmi,48862,2015
51059461901,employment_access_sqmi,51653,2015
51059461902,employment_access_sqmi,53152,2015
51059470100,employment_access_sqmi,48251,2015
51059470300,employment_access_sqmi,61468,2015
51059470400,employment_access_sqmi,55974,2015
51059470500,employment_access_sqmi,55119,2015
51059470600,employment_access_sqmi,65852,2015
51059470700,employment_access_sqmi,59687,2015
51059470800,employment_access_sqmi,69469,2015
51059470900,employment_access_sqmi,61154,2015
51059471000,employment_access_sqmi,64969,2015
51059471100,employment_access_sqmi,82862,2015
51059471201,employment_access_sqmi,119434,2015
51059471202,employment_access_sqmi,100979,2015
51059471301,employment_access_sqmi,88605,2015
51059471303,employment_access_sqmi,75357,2015
51059471304,employment_access_sqmi,70232,2015
51059471401,employment_access_sqmi,64779,2015
51059471402,employment_access_sqmi,70221,2015
51059480100,employment_access_sqmi,24624,2015
51059480201,employment_access_sqmi,75336,2015
51059480202,employment_access_sqmi,122528,2015
51059480203,employment_access_sqmi,116783,2015
51059480300,employment_access_sqmi,40098,2015
51059480401,employment_access_sqmi,28921,2015
51059480402,employment_access_sqmi,22898,2015
51059480501,employment_access_sqmi,30452,2015
51059480502,employment_access_sqmi,35653,2015
51059480503,employment_access_sqmi,46303,2015
51059480504,employment_access_sqmi,38358,2015
51059480505,employment_access_sqmi,63814,2015
51059480801,employment_access_sqmi,48960,2015
51059480802,employment_access_sqmi,66415,2015
51059480901,employment_access_sqmi,56349,2015
51059480902,employment_access_sqmi,73575,2015
51059480903,employment_access_sqmi,69010,2015
51059481000,employment_access_sqmi,61747,2015
51059481101,employment_access_sqmi,67998,2015
51059481102,employment_access_sqmi,64066,2015
51059481103,employment_access_sqmi,62932,2015
51059481104,employment_access_sqmi,60433,2015
51059481105,employment_access_sqmi,50639,2015
51059481106,employment_access_sqmi,41362,2015
51059481201,employment_access_sqmi,71114,2015
51059481202,employment_access_sqmi,67365,2015
51059481400,employment_access_sqmi,49306,2015
51059481500,employment_access_sqmi,35564,2015
51059481600,employment_access_sqmi,33953,2015
51059481701,employment_access_sqmi,38982,2015
51059481702,employment_access_sqmi,60056,2015
51059481900,employment_access_sqmi,47867,2015
51059482001,employment_access_sqmi,37107,2015
51059482002,employment_access_sqmi,42411,2015
51059482100,employment_access_sqmi,56760,2015
51059482201,employment_access_sqmi,77409,2015
51059482202,employment_access_sqmi,78514,2015
51059482203,employment_access_sqmi,85034,2015
51059482301,employment_access_sqmi,71366,2015
51059482302,employment_access_sqmi,62077,2015
51059482303,employment_access_sqmi,50996,2015
51059482400,employment_access_sqmi,44326,2015
51059482501,employment_access_sqmi,55991,2015
51059482502,employment_access_sqmi,42883,2015
51059482503,employment_access_sqmi,42415,2015
51059482504,employment_access_sqmi,35594,2015
51059482601,employment_access_sqmi,38539,2015
51059482602,employment_access_sqmi,43441,2015
51059490101,employment_access_sqmi,40644,2015
51059490103,employment_access_sqmi,41002,2015
51059490501,employment_access_sqmi,29218,2015
51059490502,employment_access_sqmi,36880,2015
51059491000,employment_access_sqmi,14425,2015
51059491101,employment_access_sqmi,21143,2015
51059491102,employment_access_sqmi,25396,2015
51059491103,employment_access_sqmi,24743,2015
51059491201,employment_access_sqmi,28494,2015
51059491202,employment_access_sqmi,29492,2015
51059491301,employment_access_sqmi,21190,2015
51059491302,employment_access_sqmi,25023,2015
51059491303,employment_access_sqmi,27284,2015
51059491401,employment_access_sqmi,28070,2015
51059491402,employment_access_sqmi,24400,2015
51059491403,employment_access_sqmi,23927,2015
51059491404,employment_access_sqmi,20546,2015
51059491405,employment_access_sqmi,20253,2015
51059491501,employment_access_sqmi,32382,2015
51059491502,employment_access_sqmi,37275,2015
51059491601,employment_access_sqmi,48173,2015
51059491602,employment_access_sqmi,42616,2015
51059491701,employment_access_sqmi,61435,2015
51059491702,employment_access_sqmi,61432,2015
51059491703,employment_access_sqmi,62842,2015
51059491704,employment_access_sqmi,61188,2015
51059491705,employment_access_sqmi,45250,2015
51059491801,employment_access_sqmi,42673,2015
51059491802,employment_access_sqmi,46778,2015
51059491803,employment_access_sqmi,43440,2015
51059492000,employment_access_sqmi,24999,2015
51059492100,employment_access_sqmi,18042,2015
51059492201,employment_access_sqmi,15215,2015
51059492202,employment_access_sqmi,19347,2015
51059492203,employment_access_sqmi,17631,2015
51059492300,employment_access_sqmi,21780,2015
51059492400,employment_access_sqmi,21746,2015
51059492500,employment_access_sqmi,18400,2015
51059980100,employment_access_sqmi,,2015
51059980200,employment_access_sqmi,,2015
51059980300,employment_access_sqmi,,2015
51061930100,employment_access_sqmi,4705,2015
51061930203,employment_access_sqmi,3327,2015
51061930204,employment_access_sqmi,3783,2015
51061930205,employment_access_sqmi,3952,2015
51061930206,employment_access_sqmi,4379,2015
51061930207,employment_access_sqmi,5442,2015
51061930302,employment_access_sqmi,10731,2015
51061930303,employment_access_sqmi,5919,2015
51061930304,employment_access_sqmi,5460,2015
51061930401,employment_access_sqmi,6622,2015
51061930402,employment_access_sqmi,6057,2015
51061930403,employment_access_sqmi,8654,2015
51061930703,employment_access_sqmi,3583,2015
51061930704,employment_access_sqmi,4533,2015
51061930705,employment_access_sqmi,4808,2015
51061930706,employment_access_sqmi,4042,2015
51061930707,employment_access_sqmi,3745,2015
51063920101,employment_access_sqmi,1737,2015
51063920102,employment_access_sqmi,1830,2015
51063920200,employment_access_sqmi,1535,2015
51065020101,employment_access_sqmi,3310,2015
51065020102,employment_access_sqmi,2882,2015
51065020200,employment_access_sqmi,2080,2015
51065020300,employment_access_sqmi,2061,2015
51067020101,employment_access_sqmi,1998,2015
51067020102,employment_access_sqmi,1813,2015
51067020200,employment_access_sqmi,2397,2015
51067020300,employment_access_sqmi,2506,2015
