"geoid","region_name","measure","value","year","measure_type","region_type"
"51009","Amherst County, Virginia","intermediate",1,2014,"count","county"
"51011","Appomattox County, Virginia","intermediate",3,2014,"count","county"
"51013","Arlington County, Virginia","intermediate",638,2014,"count","county"
"51015","Augusta County, Virginia","intermediate",23,2014,"count","county"
"51017","Bath County, Virginia","intermediate",8,2014,"count","county"
"51019","Bedford County, Virginia","intermediate",12,2014,"count","county"
"51021","Bland County, Virginia","intermediate",1,2014,"count","county"
"51023","Botetourt County, Virginia","intermediate",35,2014,"count","county"
"51025","Brunswick County, Virginia","intermediate",29,2014,"count","county"
"51027","Buchanan County, Virginia","intermediate",7,2014,"count","county"
"51029","Buckingham County, Virginia","intermediate",12,2014,"count","county"
"51031","Campbell County, Virginia","intermediate",2,2014,"count","county"
"51033","Caroline County, Virginia","intermediate",79,2014,"count","county"
"51035","Carroll County, Virginia","intermediate",32,2014,"count","county"
"51036","Charles City County, Virginia","intermediate",12,2014,"count","county"
"51037","Charlotte County, Virginia","intermediate",9,2014,"count","county"
"51041","Chesterfield County, Virginia","intermediate",277,2014,"count","county"
"51043","Clarke County, Virginia","intermediate",8,2014,"count","county"
"51045","Craig County, Virginia","intermediate",3,2014,"count","county"
"51047","Culpeper County, Virginia","intermediate",99,2014,"count","county"
"51049","Cumberland County, Virginia","intermediate",10,2014,"count","county"
"51051","Dickenson County, Virginia","intermediate",18,2014,"count","county"
"51053","Dinwiddie County, Virginia","intermediate",23,2014,"count","county"
"51057","Essex County, Virginia","intermediate",11,2014,"count","county"
"51059","Fairfax County, Virginia","intermediate",2131,2014,"count","county"
"51061","Fauquier County, Virginia","intermediate",102,2014,"count","county"
"51063","Floyd County, Virginia","intermediate",21,2014,"count","county"
"51065","Fluvanna County, Virginia","intermediate",6,2014,"count","county"
"51067","Franklin County, Virginia","intermediate",33,2014,"count","county"
"51069","Frederick County, Virginia","intermediate",79,2014,"count","county"
"51071","Giles County, Virginia","intermediate",31,2014,"count","county"
"51073","Gloucester County, Virginia","intermediate",17,2014,"count","county"
"51075","Goochland County, Virginia","intermediate",37,2014,"count","county"
"51077","Grayson County, Virginia","intermediate",13,2014,"count","county"
"51079","Greene County, Virginia","intermediate",7,2014,"count","county"
"51081","Greensville County, Virginia","intermediate",29,2014,"count","county"
"51083","Halifax County, Virginia","intermediate",27,2014,"count","county"
"51085","Hanover County, Virginia","intermediate",149,2014,"count","county"
"51087","Henrico County, Virginia","intermediate",742,2014,"count","county"
"51089","Henry County, Virginia","intermediate",25,2014,"count","county"
"51091","Highland County, Virginia","intermediate",1,2014,"count","county"
"51093","Isle of Wight County, Virginia","intermediate",48,2014,"count","county"
"51095","James City County, Virginia","intermediate",96,2014,"count","county"
"51097","King and Queen County, Virginia","intermediate",3,2014,"count","county"
"51099","King George County, Virginia","intermediate",68,2014,"count","county"
"51101","King William County, Virginia","intermediate",19,2014,"count","county"
"51103","Lancaster County, Virginia","intermediate",14,2014,"count","county"
"51105","Lee County, Virginia","intermediate",24,2014,"count","county"
"51107","Loudoun County, Virginia","intermediate",617,2014,"count","county"
"51109","Louisa County, Virginia","intermediate",47,2014,"count","county"
"51111","Lunenburg County, Virginia","intermediate",12,2014,"count","county"
"51113","Madison County, Virginia","intermediate",8,2014,"count","county"
"51115","Mathews County, Virginia","intermediate",2,2014,"count","county"
"51117","Mecklenburg County, Virginia","intermediate",25,2014,"count","county"
"51119","Middlesex County, Virginia","intermediate",9,2014,"count","county"
"51121","Montgomery County, Virginia","intermediate",165,2014,"count","county"
"51125","Nelson County, Virginia","intermediate",7,2014,"count","county"
"51127","New Kent County, Virginia","intermediate",25,2014,"count","county"
"51131","Northampton County, Virginia","intermediate",39,2014,"count","county"
"51133","Northumberland County, Virginia","intermediate",5,2014,"count","county"
"51135","Nottoway County, Virginia","intermediate",22,2014,"count","county"
"51137","Orange County, Virginia","intermediate",52,2014,"count","county"
"51139","Page County, Virginia","intermediate",24,2014,"count","county"
"51141","Patrick County, Virginia","intermediate",6,2014,"count","county"
"51143","Pittsylvania County, Virginia","intermediate",20,2014,"count","county"
