"geoid","region_type","region_name","measure","value","year","measure_type"
"110010032003","block group","Block Group 3, Census Tract 32, District of Columbia","primcare_pop_cnt",1185,2021,"count"
"110010032004","block group","Block Group 4, Census Tract 32, District of Columbia","primcare_pop_cnt",1618,2021,"count"
"110010033011","block group","Block Group 1, Census Tract 33.01, District of Columbia","primcare_pop_cnt",1440,2021,"count"
"110010033012","block group","Block Group 2, Census Tract 33.01, District of Columbia","primcare_pop_cnt",1308,2021,"count"
"110010033013","block group","Block Group 3, Census Tract 33.01, District of Columbia","primcare_pop_cnt",1390,2021,"count"
"110010033021","block group","Block Group 1, Census Tract 33.02, District of Columbia","primcare_pop_cnt",1138,2021,"count"
"110010033022","block group","Block Group 2, Census Tract 33.02, District of Columbia","primcare_pop_cnt",1168,2021,"count"
"110010034001","block group","Block Group 1, Census Tract 34, District of Columbia","primcare_pop_cnt",1472,2021,"count"
"110010034002","block group","Block Group 2, Census Tract 34, District of Columbia","primcare_pop_cnt",3535,2021,"count"
"110010035001","block group","Block Group 1, Census Tract 35, District of Columbia","primcare_pop_cnt",1674,2021,"count"
"110010035002","block group","Block Group 2, Census Tract 35, District of Columbia","primcare_pop_cnt",3379,2021,"count"
"110010036001","block group","Block Group 1, Census Tract 36, District of Columbia","primcare_pop_cnt",1703,2021,"count"
"110010036002","block group","Block Group 2, Census Tract 36, District of Columbia","primcare_pop_cnt",1573,2021,"count"
"110010036003","block group","Block Group 3, Census Tract 36, District of Columbia","primcare_pop_cnt",1489,2021,"count"
"110010037001","block group","Block Group 1, Census Tract 37, District of Columbia","primcare_pop_cnt",1268,2021,"count"
"110010037002","block group","Block Group 2, Census Tract 37, District of Columbia","primcare_pop_cnt",2193,2021,"count"
"110010037003","block group","Block Group 3, Census Tract 37, District of Columbia","primcare_pop_cnt",1544,2021,"count"
"110010038001","block group","Block Group 1, Census Tract 38, District of Columbia","primcare_pop_cnt",1730,2021,"count"
"110010038002","block group","Block Group 2, Census Tract 38, District of Columbia","primcare_pop_cnt",2138,2021,"count"
"110010038003","block group","Block Group 3, Census Tract 38, District of Columbia","primcare_pop_cnt",1306,2021,"count"
"110010039001","block group","Block Group 1, Census Tract 39, District of Columbia","primcare_pop_cnt",1443,2021,"count"
"110010039002","block group","Block Group 2, Census Tract 39, District of Columbia","primcare_pop_cnt",773,2021,"count"
"110010039003","block group","Block Group 3, Census Tract 39, District of Columbia","primcare_pop_cnt",1132,2021,"count"
"110010039004","block group","Block Group 4, Census Tract 39, District of Columbia","primcare_pop_cnt",1240,2021,"count"
"110010040011","block group","Block Group 1, Census Tract 40.01, District of Columbia","primcare_pop_cnt",1734,2021,"count"
"110010040012","block group","Block Group 2, Census Tract 40.01, District of Columbia","primcare_pop_cnt",679,2021,"count"
"110010040013","block group","Block Group 3, Census Tract 40.01, District of Columbia","primcare_pop_cnt",2215,2021,"count"
"110010040021","block group","Block Group 1, Census Tract 40.02, District of Columbia","primcare_pop_cnt",792,2021,"count"
"110010040022","block group","Block Group 2, Census Tract 40.02, District of Columbia","primcare_pop_cnt",1893,2021,"count"
"110010040023","block group","Block Group 3, Census Tract 40.02, District of Columbia","primcare_pop_cnt",617,2021,"count"
"110010041001","block group","Block Group 1, Census Tract 41, District of Columbia","primcare_pop_cnt",1132,2021,"count"
"110010041002","block group","Block Group 2, Census Tract 41, District of Columbia","primcare_pop_cnt",608,2021,"count"
"110010041003","block group","Block Group 3, Census Tract 41, District of Columbia","primcare_pop_cnt",864,2021,"count"
"110010042011","block group","Block Group 1, Census Tract 42.01, District of Columbia","primcare_pop_cnt",1374,2021,"count"
"110010042012","block group","Block Group 2, Census Tract 42.01, District of Columbia","primcare_pop_cnt",2393,2021,"count"
"110010042021","block group","Block Group 1, Census Tract 42.02, District of Columbia","primcare_pop_cnt",1264,2021,"count"
"110010042022","block group","Block Group 2, Census Tract 42.02, District of Columbia","primcare_pop_cnt",1112,2021,"count"
"110010043001","block group","Block Group 1, Census Tract 43, District of Columbia","primcare_pop_cnt",2240,2021,"count"
"110010043002","block group","Block Group 2, Census Tract 43, District of Columbia","primcare_pop_cnt",1848,2021,"count"
"110010044001","block group","Block Group 1, Census Tract 44, District of Columbia","primcare_pop_cnt",3416,2021,"count"
"110010044002","block group","Block Group 2, Census Tract 44, District of Columbia","primcare_pop_cnt",2377,2021,"count"
"110010046001","block group","Block Group 1, Census Tract 46, District of Columbia","primcare_pop_cnt",1300,2021,"count"
"110010046002","block group","Block Group 2, Census Tract 46, District of Columbia","primcare_pop_cnt",1775,2021,"count"
"110010047011","block group","Block Group 1, Census Tract 47.01, District of Columbia","primcare_pop_cnt",966,2021,"count"
"110010047012","block group","Block Group 2, Census Tract 47.01, District of Columbia","primcare_pop_cnt",3920,2021,"count"
"110010047021","block group","Block Group 1, Census Tract 47.02, District of Columbia","primcare_pop_cnt",3600,2021,"count"
"110010048011","block group","Block Group 1, Census Tract 48.01, District of Columbia","primcare_pop_cnt",2999,2021,"count"
"110010048021","block group","Block Group 1, Census Tract 48.02, District of Columbia","primcare_pop_cnt",1604,2021,"count"
"110010048022","block group","Block Group 2, Census Tract 48.02, District of Columbia","primcare_pop_cnt",1983,2021,"count"
"110010049011","block group","Block Group 1, Census Tract 49.01, District of Columbia","primcare_pop_cnt",1280,2021,"count"
"110010049012","block group","Block Group 2, Census Tract 49.01, District of Columbia","primcare_pop_cnt",2140,2021,"count"
"110010049021","block group","Block Group 1, Census Tract 49.02, District of Columbia","primcare_pop_cnt",646,2021,"count"
"110010049022","block group","Block Group 2, Census Tract 49.02, District of Columbia","primcare_pop_cnt",2811,2021,"count"
"110010050011","block group","Block Group 1, Census Tract 50.01, District of Columbia","primcare_pop_cnt",794,2021,"count"
"110010050012","block group","Block Group 2, Census Tract 50.01, District of Columbia","primcare_pop_cnt",1266,2021,"count"
"110010050021","block group","Block Group 1, Census Tract 50.02, District of Columbia","primcare_pop_cnt",2083,2021,"count"
"110010050022","block group","Block Group 2, Census Tract 50.02, District of Columbia","primcare_pop_cnt",1622,2021,"count"
"110010050023","block group","Block Group 3, Census Tract 50.02, District of Columbia","primcare_pop_cnt",1117,2021,"count"
"110010050024","block group","Block Group 4, Census Tract 50.02, District of Columbia","primcare_pop_cnt",976,2021,"count"
"110010052011","block group","Block Group 1, Census Tract 52.01, District of Columbia","primcare_pop_cnt",1549,2021,"count"
"110010052012","block group","Block Group 2, Census Tract 52.01, District of Columbia","primcare_pop_cnt",1447,2021,"count"
"110010052013","block group","Block Group 3, Census Tract 52.01, District of Columbia","primcare_pop_cnt",1088,2021,"count"
"110010052014","block group","Block Group 4, Census Tract 52.01, District of Columbia","primcare_pop_cnt",1771,2021,"count"
"110010053011","block group","Block Group 1, Census Tract 53.01, District of Columbia","primcare_pop_cnt",1303,2021,"count"
"110010053012","block group","Block Group 2, Census Tract 53.01, District of Columbia","primcare_pop_cnt",1053,2021,"count"
