geoid,measure,measure_type,region_name,region_type,value,year,moe
51810042801,gini_index,index,"Census Tract 428.01, Virginia Beach city, Virginia",tract,0.3371,2015,0.0358
51810045414,gini_index,index,"Census Tract 454.14, Virginia Beach city, Virginia",tract,0.36,2015,0.0398
51810046006,gini_index,index,"Census Tract 460.06, Virginia Beach city, Virginia",tract,0.3686,2015,0.041
51810046010,gini_index,index,"Census Tract 460.10, Virginia Beach city, Virginia",tract,0.3385,2015,0.0384
51810040404,gini_index,index,"Census Tract 404.04, Virginia Beach city, Virginia",tract,0.3752,2015,0.0317
51810044806,gini_index,index,"Census Tract 448.06, Virginia Beach city, Virginia",tract,0.3699,2015,0.0371
51810045810,gini_index,index,"Census Tract 458.10, Virginia Beach city, Virginia",tract,0.4556,2015,0.0362
51810046013,gini_index,index,"Census Tract 460.13, Virginia Beach city, Virginia",tract,0.3596,2015,0.0311
51810041003,gini_index,index,"Census Tract 410.03, Virginia Beach city, Virginia",tract,0.3255,2015,0.0326
51810045601,gini_index,index,"Census Tract 456.01, Virginia Beach city, Virginia",tract,0.3789,2015,0.0438
51810044805,gini_index,index,"Census Tract 448.05, Virginia Beach city, Virginia",tract,0.3002,2015,0.0375
51810040403,gini_index,index,"Census Tract 404.03, Virginia Beach city, Virginia",tract,0.3471,2015,0.0369
51810044401,gini_index,index,"Census Tract 444.01, Virginia Beach city, Virginia",tract,0.4082,2015,0.0414
51810046002,gini_index,index,"Census Tract 460.02, Virginia Beach city, Virginia",tract,0.3543,2015,0.0274
51005080100,gini_index,index,"Census Tract 801, Alleghany County, Virginia",tract,0.4295,2015,0.0488
51005080302,gini_index,index,"Census Tract 803.02, Alleghany County, Virginia",tract,0.3628,2015,0.0413
51005080201,gini_index,index,"Census Tract 802.01, Alleghany County, Virginia",tract,0.4316,2015,0.0432
51005080202,gini_index,index,"Census Tract 802.02, Alleghany County, Virginia",tract,0.4108,2015,0.0378
51005080301,gini_index,index,"Census Tract 803.01, Alleghany County, Virginia",tract,0.3708,2015,0.035
