"geoid","region_type","region_name","measure","value","year","measure_type"
"110010019022","block group","Block Group 2, Census Tract 19.02, District of Columbia","subs_pop_cnt",844,2021,"count"
"110010020011","block group","Block Group 1, Census Tract 20.01, District of Columbia","subs_pop_cnt",2442,2021,"count"
"110010020012","block group","Block Group 2, Census Tract 20.01, District of Columbia","subs_pop_cnt",1048,2021,"count"
"110010020021","block group","Block Group 1, Census Tract 20.02, District of Columbia","subs_pop_cnt",1318,2021,"count"
"110010020022","block group","Block Group 2, Census Tract 20.02, District of Columbia","subs_pop_cnt",1711,2021,"count"
"110010020023","block group","Block Group 3, Census Tract 20.02, District of Columbia","subs_pop_cnt",1752,2021,"count"
"110010021011","block group","Block Group 1, Census Tract 21.01, District of Columbia","subs_pop_cnt",1362,2021,"count"
"110010021012","block group","Block Group 2, Census Tract 21.01, District of Columbia","subs_pop_cnt",1008,2021,"count"
"110010021013","block group","Block Group 3, Census Tract 21.01, District of Columbia","subs_pop_cnt",1548,2021,"count"
"110010021014","block group","Block Group 4, Census Tract 21.01, District of Columbia","subs_pop_cnt",439,2021,"count"
"110010021015","block group","Block Group 5, Census Tract 21.01, District of Columbia","subs_pop_cnt",1174,2021,"count"
"110010021021","block group","Block Group 1, Census Tract 21.02, District of Columbia","subs_pop_cnt",1136,2021,"count"
"110010021022","block group","Block Group 2, Census Tract 21.02, District of Columbia","subs_pop_cnt",845,2021,"count"
"110010021023","block group","Block Group 3, Census Tract 21.02, District of Columbia","subs_pop_cnt",1341,2021,"count"
"110010021024","block group","Block Group 4, Census Tract 21.02, District of Columbia","subs_pop_cnt",921,2021,"count"
"110010021025","block group","Block Group 5, Census Tract 21.02, District of Columbia","subs_pop_cnt",603,2021,"count"
"110010021026","block group","Block Group 6, Census Tract 21.02, District of Columbia","subs_pop_cnt",814,2021,"count"
"110010022011","block group","Block Group 1, Census Tract 22.01, District of Columbia","subs_pop_cnt",1512,2021,"count"
"110010022012","block group","Block Group 2, Census Tract 22.01, District of Columbia","subs_pop_cnt",1029,2021,"count"
"110010022013","block group","Block Group 3, Census Tract 22.01, District of Columbia","subs_pop_cnt",723,2021,"count"
"110010022021","block group","Block Group 1, Census Tract 22.02, District of Columbia","subs_pop_cnt",1754,2021,"count"
"110010022022","block group","Block Group 2, Census Tract 22.02, District of Columbia","subs_pop_cnt",1006,2021,"count"
"110010022023","block group","Block Group 3, Census Tract 22.02, District of Columbia","subs_pop_cnt",572,2021,"count"
"110010023011","block group","Block Group 1, Census Tract 23.01, District of Columbia","subs_pop_cnt",1889,2021,"count"
"110010023012","block group","Block Group 2, Census Tract 23.01, District of Columbia","subs_pop_cnt",1719,2021,"count"
"110010023021","block group","Block Group 1, Census Tract 23.02, District of Columbia","subs_pop_cnt",1612,2021,"count"
"110010024001","block group","Block Group 1, Census Tract 24, District of Columbia","subs_pop_cnt",1041,2021,"count"
"110010024002","block group","Block Group 2, Census Tract 24, District of Columbia","subs_pop_cnt",1094,2021,"count"
"110010024003","block group","Block Group 3, Census Tract 24, District of Columbia","subs_pop_cnt",975,2021,"count"
"110010024004","block group","Block Group 4, Census Tract 24, District of Columbia","subs_pop_cnt",994,2021,"count"
"110010025011","block group","Block Group 1, Census Tract 25.01, District of Columbia","subs_pop_cnt",1700,2021,"count"
"110010025012","block group","Block Group 2, Census Tract 25.01, District of Columbia","subs_pop_cnt",1560,2021,"count"
"110010025021","block group","Block Group 1, Census Tract 25.02, District of Columbia","subs_pop_cnt",1371,2021,"count"
"110010025022","block group","Block Group 2, Census Tract 25.02, District of Columbia","subs_pop_cnt",2352,2021,"count"
"110010025023","block group","Block Group 3, Census Tract 25.02, District of Columbia","subs_pop_cnt",1252,2021,"count"
"110010025024","block group","Block Group 4, Census Tract 25.02, District of Columbia","subs_pop_cnt",1759,2021,"count"
"110010026001","block group","Block Group 1, Census Tract 26, District of Columbia","subs_pop_cnt",1318,2021,"count"
"110010026002","block group","Block Group 2, Census Tract 26, District of Columbia","subs_pop_cnt",1334,2021,"count"
"110010027011","block group","Block Group 1, Census Tract 27.01, District of Columbia","subs_pop_cnt",493,2021,"count"
"110010027012","block group","Block Group 2, Census Tract 27.01, District of Columbia","subs_pop_cnt",1946,2021,"count"
"110010027013","block group","Block Group 3, Census Tract 27.01, District of Columbia","subs_pop_cnt",1034,2021,"count"
"110010027014","block group","Block Group 4, Census Tract 27.01, District of Columbia","subs_pop_cnt",2329,2021,"count"
"110010027021","block group","Block Group 1, Census Tract 27.02, District of Columbia","subs_pop_cnt",1524,2021,"count"
"110010027022","block group","Block Group 2, Census Tract 27.02, District of Columbia","subs_pop_cnt",3186,2021,"count"
"110010027023","block group","Block Group 3, Census Tract 27.02, District of Columbia","subs_pop_cnt",1339,2021,"count"
"110010028011","block group","Block Group 1, Census Tract 28.01, District of Columbia","subs_pop_cnt",1985,2021,"count"
"110010028012","block group","Block Group 2, Census Tract 28.01, District of Columbia","subs_pop_cnt",2063,2021,"count"
"110010028021","block group","Block Group 1, Census Tract 28.02, District of Columbia","subs_pop_cnt",3416,2021,"count"
"110010028022","block group","Block Group 2, Census Tract 28.02, District of Columbia","subs_pop_cnt",1640,2021,"count"
"110010029001","block group","Block Group 1, Census Tract 29, District of Columbia","subs_pop_cnt",1939,2021,"count"
"110010029002","block group","Block Group 2, Census Tract 29, District of Columbia","subs_pop_cnt",2477,2021,"count"
"110010030001","block group","Block Group 1, Census Tract 30, District of Columbia","subs_pop_cnt",1815,2021,"count"
"110010030002","block group","Block Group 2, Census Tract 30, District of Columbia","subs_pop_cnt",1917,2021,"count"
"110010031001","block group","Block Group 1, Census Tract 31, District of Columbia","subs_pop_cnt",3605,2021,"count"
"110010032001","block group","Block Group 1, Census Tract 32, District of Columbia","subs_pop_cnt",1743,2021,"count"
"110010032002","block group","Block Group 2, Census Tract 32, District of Columbia","subs_pop_cnt",755,2021,"count"
"110010032003","block group","Block Group 3, Census Tract 32, District of Columbia","subs_pop_cnt",1185,2021,"count"
"110010032004","block group","Block Group 4, Census Tract 32, District of Columbia","subs_pop_cnt",1618,2021,"count"
"110010033011","block group","Block Group 1, Census Tract 33.01, District of Columbia","subs_pop_cnt",1440,2021,"count"
"110010033012","block group","Block Group 2, Census Tract 33.01, District of Columbia","subs_pop_cnt",1308,2021,"count"
"110010033013","block group","Block Group 3, Census Tract 33.01, District of Columbia","subs_pop_cnt",1390,2021,"count"
"110010033021","block group","Block Group 1, Census Tract 33.02, District of Columbia","subs_pop_cnt",1138,2021,"count"
"110010033022","block group","Block Group 2, Census Tract 33.02, District of Columbia","subs_pop_cnt",1168,2021,"count"
"110010034001","block group","Block Group 1, Census Tract 34, District of Columbia","subs_pop_cnt",1472,2021,"count"
"110010034002","block group","Block Group 2, Census Tract 34, District of Columbia","subs_pop_cnt",3535,2021,"count"
"110010035001","block group","Block Group 1, Census Tract 35, District of Columbia","subs_pop_cnt",1674,2021,"count"
"110010035002","block group","Block Group 2, Census Tract 35, District of Columbia","subs_pop_cnt",3379,2021,"count"
"110010036001","block group","Block Group 1, Census Tract 36, District of Columbia","subs_pop_cnt",1703,2021,"count"
"110010036002","block group","Block Group 2, Census Tract 36, District of Columbia","subs_pop_cnt",1573,2021,"count"
"110010036003","block group","Block Group 3, Census Tract 36, District of Columbia","subs_pop_cnt",1489,2021,"count"
"110010037001","block group","Block Group 1, Census Tract 37, District of Columbia","subs_pop_cnt",1268,2021,"count"
"110010037002","block group","Block Group 2, Census Tract 37, District of Columbia","subs_pop_cnt",2193,2021,"count"
"110010037003","block group","Block Group 3, Census Tract 37, District of Columbia","subs_pop_cnt",1544,2021,"count"
"110010038001","block group","Block Group 1, Census Tract 38, District of Columbia","subs_pop_cnt",1730,2021,"count"
"110010038002","block group","Block Group 2, Census Tract 38, District of Columbia","subs_pop_cnt",2138,2021,"count"
"110010038003","block group","Block Group 3, Census Tract 38, District of Columbia","subs_pop_cnt",1306,2021,"count"
"110010039001","block group","Block Group 1, Census Tract 39, District of Columbia","subs_pop_cnt",1443,2021,"count"
"110010039002","block group","Block Group 2, Census Tract 39, District of Columbia","subs_pop_cnt",773,2021,"count"
"110010039003","block group","Block Group 3, Census Tract 39, District of Columbia","subs_pop_cnt",1132,2021,"count"
"110010039004","block group","Block Group 4, Census Tract 39, District of Columbia","subs_pop_cnt",1240,2021,"count"
"110010040011","block group","Block Group 1, Census Tract 40.01, District of Columbia","subs_pop_cnt",1734,2021,"count"
"110010040012","block group","Block Group 2, Census Tract 40.01, District of Columbia","subs_pop_cnt",679,2021,"count"
"110010040013","block group","Block Group 3, Census Tract 40.01, District of Columbia","subs_pop_cnt",2215,2021,"count"
"110010040021","block group","Block Group 1, Census Tract 40.02, District of Columbia","subs_pop_cnt",792,2021,"count"
"110010040022","block group","Block Group 2, Census Tract 40.02, District of Columbia","subs_pop_cnt",1893,2021,"count"
"110010040023","block group","Block Group 3, Census Tract 40.02, District of Columbia","subs_pop_cnt",617,2021,"count"
"110010041001","block group","Block Group 1, Census Tract 41, District of Columbia","subs_pop_cnt",1132,2021,"count"
"110010041002","block group","Block Group 2, Census Tract 41, District of Columbia","subs_pop_cnt",608,2021,"count"
"110010041003","block group","Block Group 3, Census Tract 41, District of Columbia","subs_pop_cnt",864,2021,"count"
"110010042011","block group","Block Group 1, Census Tract 42.01, District of Columbia","subs_pop_cnt",1374,2021,"count"
"110010042012","block group","Block Group 2, Census Tract 42.01, District of Columbia","subs_pop_cnt",2393,2021,"count"
"110010042021","block group","Block Group 1, Census Tract 42.02, District of Columbia","subs_pop_cnt",1264,2021,"count"
"110010042022","block group","Block Group 2, Census Tract 42.02, District of Columbia","subs_pop_cnt",1112,2021,"count"
"110010043001","block group","Block Group 1, Census Tract 43, District of Columbia","subs_pop_cnt",2240,2021,"count"
