geoid,region_type,region_name,year,value,measure,measure_type
51540,county,"Charlottesville city, Virginia",2017,18,degrees_awarded_undergraduate,count
51550,county,"Chesapeake city, Virginia",2017,128,degrees_awarded_undergraduate,count
51570,county,"Colonial Heights city, Virginia",2017,6,degrees_awarded_undergraduate,count
51580,county,"Covington city, Virginia",2017,10,degrees_awarded_undergraduate,count
51590,county,"Danville city, Virginia",2017,35,degrees_awarded_undergraduate,count
51595,county,"Emporia city, Virginia",2017,0,degrees_awarded_undergraduate,count
51600,county,"Fairfax city, Virginia",2017,16,degrees_awarded_undergraduate,count
51610,county,"Falls Church city, Virginia",2017,0,degrees_awarded_undergraduate,count
51620,county,"Franklin city, Virginia",2017,4,degrees_awarded_undergraduate,count
51630,county,"Fredericksburg city, Virginia",2017,12,degrees_awarded_undergraduate,count
51640,county,"Galax city, Virginia",2017,6,degrees_awarded_undergraduate,count
51650,county,"Hampton city, Virginia",2017,55,degrees_awarded_undergraduate,count
51660,county,"Harrisonburg city, Virginia",2017,19,degrees_awarded_undergraduate,count
51670,county,"Hopewell city, Virginia",2017,1,degrees_awarded_undergraduate,count
51678,county,"Lexington city, Virginia",2017,4,degrees_awarded_undergraduate,count
51680,county,"Lynchburg city, Virginia",2017,39,degrees_awarded_undergraduate,count
51683,county,"Manassas city, Virginia",2017,19,degrees_awarded_undergraduate,count
51685,county,"Manassas Park city, Virginia",2017,5,degrees_awarded_undergraduate,count
51690,county,"Martinsville city, Virginia",2017,22,degrees_awarded_undergraduate,count
51700,county,"Newport News city, Virginia",2017,44,degrees_awarded_undergraduate,count
51710,county,"Norfolk city, Virginia",2017,79,degrees_awarded_undergraduate,count
51720,county,"Norton city, Virginia",2017,0,degrees_awarded_undergraduate,count
51730,county,"Petersburg city, Virginia",2017,6,degrees_awarded_undergraduate,count
51735,county,"Poquoson city, Virginia",2017,10,degrees_awarded_undergraduate,count
51740,county,"Portsmouth city, Virginia",2017,39,degrees_awarded_undergraduate,count
51750,county,"Radford city, Virginia",2017,30,degrees_awarded_undergraduate,count
51760,county,"Richmond city, Virginia",2017,50,degrees_awarded_undergraduate,count
51770,county,"Roanoke city, Virginia",2017,43,degrees_awarded_undergraduate,count
51775,county,"Salem city, Virginia",2017,21,degrees_awarded_undergraduate,count
51790,county,"Staunton city, Virginia",2017,20,degrees_awarded_undergraduate,count
51800,county,"Suffolk city, Virginia",2017,39,degrees_awarded_undergraduate,count
51810,county,"Virginia Beach city, Virginia",2017,209,degrees_awarded_undergraduate,count
51820,county,"Waynesboro city, Virginia",2017,15,degrees_awarded_undergraduate,count
51830,county,"Williamsburg city, Virginia",2017,6,degrees_awarded_undergraduate,count
51840,county,"Winchester city, Virginia",2017,15,degrees_awarded_undergraduate,count
51001,county,"Accomack County, Virginia",2018,17,degrees_awarded_undergraduate,count
51003,county,"Albemarle County, Virginia",2018,35,degrees_awarded_undergraduate,count
51005,county,"Alleghany County, Virginia",2018,2,degrees_awarded_undergraduate,count
51007,county,"Amelia County, Virginia",2018,4,degrees_awarded_undergraduate,count
51009,county,"Amherst County, Virginia",2018,9,degrees_awarded_undergraduate,count
51011,county,"Appomattox County, Virginia",2018,3,degrees_awarded_undergraduate,count
51013,county,"Arlington County, Virginia",2018,66,degrees_awarded_undergraduate,count
51015,county,"Augusta County, Virginia",2018,43,degrees_awarded_undergraduate,count
51017,county,"Bath County, Virginia",2018,4,degrees_awarded_undergraduate,count
51019,county,"Bedford County, Virginia",2018,48,degrees_awarded_undergraduate,count
51021,county,"Bland County, Virginia",2018,0,degrees_awarded_undergraduate,count
51023,county,"Botetourt County, Virginia",2018,30,degrees_awarded_undergraduate,count
51025,county,"Brunswick County, Virginia",2018,8,degrees_awarded_undergraduate,count
51027,county,"Buchanan County, Virginia",2018,2,degrees_awarded_undergraduate,count
51029,county,"Buckingham County, Virginia",2018,2,degrees_awarded_undergraduate,count
