"","fips","TractID","geography","county","state","total_population_2020","percent_food_insecure_2020","number_food_insecure_2020","unemployment_rate","percent_poor","percent_black","percent_hispanic","median_income","percent_homeowners","percent_disabled"
"84",51059,51059432702,"Census Tract 4327.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",4292,0.007,30,0.04,0.017,0.193,0.286,115000,0.852,0.049
"85",51059,51059432800,"Census Tract 4328, Fairfax County, Virginia","Fairfax County, Virginia","VA",2129,0.027,60,0.05,0.028,0.2,0.079,144375,0.807,0.053
"86",51059,51059440100,"Census Tract 4401, Fairfax County, Virginia","Fairfax County, Virginia","VA",7784,0.026,200,0.03,0.017,0.029,0.078,193239,0.736,0.066
"87",51059,51059440201,"Census Tract 4402.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",3351,NA,NA,0.014,0.049,0.143,0.081,132155,0.243,0.045
"88",51059,51059440202,"Census Tract 4402.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",7326,0.13,950,0.059,0.215,0.109,0.112,90859,0.426,0.048
"89",51059,51059440300,"Census Tract 4403, Fairfax County, Virginia","Fairfax County, Virginia","VA",2755,0.019,50,0.039,0.029,0.028,0.114,207125,0.954,0.082
"90",51059,51059440501,"Census Tract 4405.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",4706,0.018,80,0.031,0.026,0.037,0.162,173548,0.887,0.075
"91",51059,51059440503,"Census Tract 4405.03, Fairfax County, Virginia","Fairfax County, Virginia","VA",5458,NA,NA,0.214,0.115,0.405,0.078,80000,0.248,0.083
"92",51059,51059440504,"Census Tract 4405.04, Fairfax County, Virginia","Fairfax County, Virginia","VA",1012,NA,NA,0.059,0.133,0.39,0.221,70296,0.647,0.134
"93",51059,51059440505,"Census Tract 4405.05, Fairfax County, Virginia","Fairfax County, Virginia","VA",1254,0.029,40,0.063,0.012,0.084,0.015,143182,0.938,0.054
"94",51059,51059440600,"Census Tract 4406, Fairfax County, Virginia","Fairfax County, Virginia","VA",3236,0.024,80,0.046,0.046,0.115,0.244,124164,0.948,0.076
"95",51059,51059440701,"Census Tract 4407.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",2859,0.028,80,0.026,0.035,0.036,0.045,159596,0.909,0.095
"96",51059,51059440702,"Census Tract 4407.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",5620,0.016,90,0.04,0.011,0.09,0.066,161599,0.931,0.067
"97",51059,51059440800,"Census Tract 4408, Fairfax County, Virginia","Fairfax County, Virginia","VA",6134,0.04,250,0.058,0.039,0.036,0.063,177835,0.838,0.058
"98",51059,51059450100,"Census Tract 4501, Fairfax County, Virginia","Fairfax County, Virginia","VA",7223,0.053,380,0.041,0.092,0.034,0.466,93209,0.556,0.036
"99",51059,51059450200,"Census Tract 4502, Fairfax County, Virginia","Fairfax County, Virginia","VA",4486,0.064,290,0.073,0.084,0.082,0.399,104625,0.614,0.047
"100",51059,51059450300,"Census Tract 4503, Fairfax County, Virginia","Fairfax County, Virginia","VA",5322,0.068,360,0.094,0.03,0.066,0.322,116232,0.596,0.088
"101",51059,51059450400,"Census Tract 4504, Fairfax County, Virginia","Fairfax County, Virginia","VA",2645,0.042,110,0.053,0.041,0.028,0.143,165167,0.886,0.106
"102",51059,51059450500,"Census Tract 4505, Fairfax County, Virginia","Fairfax County, Virginia","VA",2920,0.02,60,0.036,0.019,0.044,0.363,109135,0.93,0.129
"103",51059,51059450601,"Census Tract 4506.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",4306,0.022,90,0.037,0.023,0.076,0.166,152037,0.84,0.071
"104",51059,51059450602,"Census Tract 4506.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",4451,0.066,290,0.029,0.093,0.07,0.323,85699,0.489,0.073
"105",51059,51059450701,"Census Tract 4507.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",2926,0.003,10,0.024,0.013,0.065,0.217,163125,0.881,0.056
"106",51059,51059450702,"Census Tract 4507.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",4864,0.063,310,0.027,0.098,0.082,0.557,77731,0.254,0.034
"107",51059,51059450800,"Census Tract 4508, Fairfax County, Virginia","Fairfax County, Virginia","VA",3523,0.032,110,0.015,0.056,0.018,0.332,113508,0.866,0.144
"108",51059,51059450900,"Census Tract 4509, Fairfax County, Virginia","Fairfax County, Virginia","VA",1693,0.025,40,0.024,0.038,0.027,0.126,146000,0.917,0.096
"109",51059,51059451000,"Census Tract 4510, Fairfax County, Virginia","Fairfax County, Virginia","VA",3127,0.052,160,0.059,0.056,0.077,0.135,135188,0.945,0.137
"110",51059,51059451100,"Census Tract 4511, Fairfax County, Virginia","Fairfax County, Virginia","VA",2617,0.017,40,0.046,0.005,0.109,0.226,171458,0.819,0.084
"111",51059,51059451200,"Census Tract 4512, Fairfax County, Virginia","Fairfax County, Virginia","VA",1763,0,0,0.01,0.008,0.075,0.074,186979,0.932,0.048
"112",51059,51059451300,"Census Tract 4513, Fairfax County, Virginia","Fairfax County, Virginia","VA",2516,0.037,90,0.048,0.046,0.029,0.09,155903,0.899,0.072
"113",51059,51059451400,"Census Tract 4514, Fairfax County, Virginia","Fairfax County, Virginia","VA",3734,0.129,480,0.066,0.166,0.047,0.576,42907,0.133,0.09
"114",51059,51059451501,"Census Tract 4515.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",5307,0.13,690,0.044,0.21,0.095,0.223,77672,0.496,0.144
"115",51059,51059451502,"Census Tract 4515.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",5090,0.114,580,0.117,0.048,0.167,0.219,89743,0.294,0.113
"116",51059,51059451601,"Census Tract 4516.01, Fairfax County, Virginia","Fairfax County, Virginia","VA",6063,0.152,920,0.023,0.373,0.047,0.83,51578,0.103,0.009
"117",51059,51059451602,"Census Tract 4516.02, Fairfax County, Virginia","Fairfax County, Virginia","VA",2777,0.073,200,0.059,0.047,0.093,0.235,69593,0.536,0.109
